cluster,size,n_scored,cohesion,mean_loss,median_loss,std,min,max
84,1,1,,4.9049,4.9049,0.0000,4.9049,4.9049
91,1,1,,2.7095,2.7095,0.0000,2.7095,2.7095
93,1,1,,2.2254,2.2254,0.0000,2.2254,2.2254
88,1,1,,1.8847,1.8847,0.0000,1.8847,1.8847
52,4,4,0.4257,1.8534,1.6791,0.4443,1.5452,2.5104
18,14,14,0.3494,1.7697,1.8041,0.4470,1.1743,2.4999
14,17,17,0.3346,1.7290,1.7479,0.3704,1.2195,2.6581
42,5,5,0.2670,1.6439,1.6651,0.2917,1.2623,1.9515
80,1,1,,1.6300,1.6300,0.0000,1.6300,1.6300
66,3,3,0.2684,1.5978,1.4872,0.4336,1.2302,2.0760
45,5,5,0.4755,1.5899,1.5004,0.8918,0.4673,2.7417
89,1,1,,1.5599,1.5599,0.0000,1.5599,1.5599
65,3,3,0.4522,1.5568,1.3225,0.5773,1.1335,2.2144
85,1,1,,1.5424,1.5424,0.0000,1.5424,1.5424
29,8,8,0.2588,1.4927,1.5200,0.1260,1.2151,1.6234
28,8,8,0.2364,1.4777,1.2938,0.4841,0.9820,2.3290
53,4,4,0.2816,1.4535,1.5601,0.5937,0.7022,1.9916
63,3,3,0.3123,1.4523,1.5146,0.3670,1.0581,1.7842
86,1,1,,1.4406,1.4406,0.0000,1.4406,1.4406
39,6,6,0.3594,1.4329,1.4189,0.2718,1.1573,1.7616
12,18,18,0.3234,1.4251,1.4137,0.4304,0.7512,2.1791
31,8,8,0.3358,1.4172,1.5151,0.3082,0.9465,1.8786
36,7,7,0.2811,1.4149,1.4506,0.2222,1.1136,1.7408
5,42,42,0.3154,1.4086,1.2342,0.5914,0.6704,3.1359
15,15,15,0.3645,1.4084,1.1894,0.7450,0.9152,3.9468
38,6,6,0.2936,1.3981,1.3762,0.2205,1.0740,1.7555
26,9,9,0.3444,1.3969,1.3940,0.2982,0.8293,1.9066
49,4,4,0.2251,1.3859,1.3031,0.2449,1.2043,1.7332
48,5,5,0.4032,1.3760,1.3193,0.4039,0.7678,1.7727
71,2,2,0.1644,1.3704,1.3704,0.2126,1.2201,1.5207
37,6,6,0.3540,1.3644,1.4530,0.2145,0.9365,1.5036
62,3,3,0.2406,1.3589,1.3403,0.1398,1.2294,1.5071
79,1,1,,1.3528,1.3528,0.0000,1.3528,1.3528
2,49,49,0.3699,1.3528,1.2734,0.4712,0.6919,3.2037
56,3,3,0.2911,1.3525,1.5061,0.4785,0.8160,1.7353
72,2,2,0.3786,1.3522,1.3522,0.0703,1.3024,1.4019
41,5,5,0.3171,1.3514,1.3638,0.3505,1.0039,1.8347
33,7,7,0.2969,1.3440,1.4557,0.4671,0.4285,1.9277
35,7,7,0.4149,1.3428,1.3784,0.3798,0.6522,1.8969
10,21,21,0.4447,1.3388,1.2729,0.3859,0.6705,2.0261
82,1,1,,1.3370,1.3370,0.0000,1.3370,1.3370
81,1,1,,1.3349,1.3349,0.0000,1.3349,1.3349
54,4,4,0.2523,1.3064,1.2370,0.6309,0.6477,2.1039
0,111,111,0.2746,1.2953,1.2108,0.5289,0.6452,4.0276
17,14,14,0.2475,1.2861,1.2660,0.2583,0.7606,1.7519
46,5,5,0.3190,1.2848,1.1343,0.4341,0.9335,2.0364
44,5,5,0.3396,1.2841,1.1079,0.4625,0.8005,1.9881
76,2,2,0.2716,1.2831,1.2831,0.1049,1.2089,1.3573
60,3,3,0.4137,1.2772,1.0159,0.5871,0.8661,1.9496
43,5,5,0.2859,1.2718,1.2634,0.1393,1.0809,1.4663
51,4,4,0.3269,1.2713,1.1821,0.2680,1.0575,1.6634
7,28,28,0.3621,1.2582,1.1853,0.3274,0.5829,1.9323
32,7,7,0.3578,1.2565,1.2328,0.4499,0.6695,1.9744
6,28,28,0.2486,1.2559,1.2267,0.2927,0.8743,2.1734
73,2,2,0.3070,1.2515,1.2515,0.1766,1.1267,1.3764
11,20,20,0.5100,1.2504,1.2379,0.4325,0.7507,2.2235
69,2,2,0.3203,1.2402,1.2402,0.0487,1.2058,1.2747
94,1,1,,1.2393,1.2393,0.0000,1.2393,1.2393
30,8,8,0.2544,1.2390,1.3508,0.2366,0.8706,1.4913
25,10,10,0.2824,1.2300,1.2623,0.3044,0.8898,1.8828
61,3,3,0.4340,1.2240,1.0700,0.5594,0.7577,1.8442
74,2,2,0.3382,1.2233,1.2233,0.1786,1.0970,1.3496
22,12,12,0.1980,1.2161,1.1802,0.4045,0.5240,1.9797
90,1,1,,1.2078,1.2078,0.0000,1.2078,1.2078
4,43,43,0.3047,1.2034,1.1697,0.3603,0.6187,2.5057
58,3,3,0.3135,1.1993,1.1617,0.1653,1.0561,1.3802
3,49,49,0.3907,1.1897,1.2012,0.3800,0.4064,2.7249
21,13,13,0.2624,1.1817,1.1660,0.3612,0.5953,1.8040
68,2,2,0.6479,1.1801,1.1801,0.0584,1.1388,1.2213
70,2,2,0.2012,1.1773,1.1773,0.1844,1.0469,1.3077
9,25,25,0.3425,1.1584,1.0899,0.3111,0.6415,2.0624
20,13,13,0.3486,1.1577,1.1031,0.4689,0.5785,2.2117
24,10,10,0.4033,1.1318,1.0805,0.4337,0.6122,1.8613
92,1,1,,1.1245,1.1245,0.0000,1.1245,1.1245
19,14,14,0.3005,1.1238,1.0619,0.3757,0.6321,2.1822
13,18,18,0.3810,1.1133,1.0970,0.3101,0.6839,1.8004
16,15,15,0.4215,1.1016,0.9705,0.3784,0.6330,1.7934
87,1,1,,1.0936,1.0936,0.0000,1.0936,1.0936
40,6,6,0.3646,1.0890,1.1465,0.1723,0.7819,1.2365
1,107,107,0.2391,1.0830,0.9973,0.3764,0.5326,2.6785
59,3,3,0.3757,1.0703,1.0101,0.1527,0.9568,1.2439
34,7,7,0.3713,1.0682,1.1023,0.2323,0.7153,1.3435
27,8,8,0.4504,1.0681,1.0395,0.2859,0.6429,1.6244
8,27,27,0.3673,1.0613,0.9772,0.3495,0.5885,1.8079
64,3,3,0.1986,1.0308,0.7577,0.5123,0.7128,1.6218
57,3,3,0.2932,1.0186,0.9361,0.4830,0.5822,1.5376
23,10,10,0.5284,0.9375,0.9461,0.1978,0.6570,1.2924
77,2,2,0.2655,0.9166,0.9166,0.1055,0.8420,0.9912
95,1,1,,0.8832,0.8832,0.0000,0.8832,0.8832
47,5,5,0.2030,0.8743,0.8408,0.1560,0.6831,1.0600
55,4,4,0.3787,0.8264,0.8017,0.1049,0.7292,0.9732
50,4,4,0.2704,0.8011,0.6980,0.2808,0.5963,1.2122
75,2,2,0.3487,0.7241,0.7241,0.0654,0.6778,0.7703
67,3,3,0.2632,0.6949,0.6806,0.1629,0.5396,0.8645
78,1,1,,0.6686,0.6686,0.0000,0.6686,0.6686
83,1,1,,0.5608,0.5608,0.0000,0.5608,0.5608
